unique_id,n,pi1,pi2,model,file,rate_MSE,rate_MAE,rate_R2,count_MSE,count_MAE,count_R2,count_Accuracy
n=200_pi1=0.3_pi2=0.3,200,0.3,0.3,HistGradientBoostingRegressor,n=200_pi1=0.3_pi2=0.3.txt,3.6667,1.5294,0.1244,3.875,1.575,0.0746,0.0526
n=200_pi1=0.3_pi2=0.3,200,0.3,0.3,PoissonRandomForestRegressor,n=200_pi1=0.3_pi2=0.3.txt,4.8123,1.6593,-0.1492,4.925,1.675,-0.1761,0.1
n=50_pi1=0.4_pi2=0.4,50,0.4,0.4,ZKIPModel_EM,n=50_pi1=0.4_pi2=0.4.txt,2.2144,1.4864,-0.0252,3.6,3.6,-0.6667,0.6
n=50_pi1=0.4_pi2=0.4,50,0.4,0.4,ZkICMP,n=50_pi1=0.4_pi2=0.4.txt,3.0127,1.4583,-0.3948,3.6,1.2,-0.6667,0.6
n=50_pi1=0.4_pi2=0.4,50,0.4,0.4,HistGradientBoostingRegressor,n=50_pi1=0.4_pi2=0.4.txt,2.3024,1.4969,-0.0659,2.5,1.5,-0.1574,0.0
n=50_pi1=0.4_pi2=0.4,50,0.4,0.4,PoissonRandomForestRegressor,n=50_pi1=0.4_pi2=0.4.txt,2.945,1.6192,-0.3634,2.8,1.6,-0.2963,0.0
n=500_pi1=0.4_pi2=0.4,500,0.4,0.4,ZKIPModel_EM,n=500_pi1=0.4_pi2=0.4.txt,3.7956,1.5894,0.1553,5.57,5.57,-0.2395,0.48
n=500_pi1=0.4_pi2=0.4,500,0.4,0.4,ZkICMP,n=500_pi1=0.4_pi2=0.4.txt,4.0467,1.6476,0.0995,5.96,1.66,-0.3263,0.44
n=500_pi1=0.4_pi2=0.4,500,0.4,0.4,HistGradientBoostingRegressor,n=500_pi1=0.4_pi2=0.4.txt,4.1353,1.6693,0.0797,3.96,1.62,0.1187,0.0753
n=500_pi1=0.4_pi2=0.4,500,0.4,0.4,PoissonRandomForestRegressor,n=500_pi1=0.4_pi2=0.4.txt,4.0429,1.6506,0.1003,4.1,1.68,0.0876,0.06
