,beta0,gamma0,alpha0,beta,gamma,alpha,p_0,p_k,p_p,structural_zeros,structural_ks,from_nb,y_mean,y_std,n_unique,r_hat,p0_nb,pk_nb,zero_inflated,k_inflated
22,-2.197224577336219,-1.0,1.0,0,0.0,0.0,0.16,0.4228571428571429,0.4171428571428571,0.104,0.268,0.628,2.42,1.603416838735098,10,38.798094153378784,0.0956054225268421,0.20315438252443396,True,True
23,-2.197224577336219,-1.0,1.0,0,0.0,1.0,0.22,0.30857142857142855,0.4714285714285715,0.1,0.244,0.656,3.637142857142857,5.356333354038998,25,0.5280294372418857,0.33602445243306633,0.07606305759792327,False,True
24,-2.197224577336219,-1.0,1.0,0,1.0,-1.0,0.1657142857142857,0.38,0.4542857142857143,0.106,0.3,0.594,4.202857142857143,6.1300605415561495,25,0.5292620794467274,0.3136664364677659,0.07497736654136126,False,True
25,-2.197224577336219,-1.0,1.0,0,1.0,0.0,0.1457142857142857,0.4085714285714286,0.44571428571428573,0.116,0.276,0.608,2.617142857142857,1.6435139017207632,9,81.54568198273451,0.07607597177537055,0.2144060188188942,True,True
26,-2.197224577336219,-1.0,1.0,0,1.0,1.0,0.18857142857142858,0.4057142857142857,0.4057142857142857,0.076,0.314,0.61,2.9114285714285715,3.0063229859796285,18,1.3835547348805182,0.20861201011004255,0.12084166945996379,False,True
27,-2.197224577336219,0.0,-1.0,0,-1.0,-1.0,0.3628571428571429,0.5114285714285715,0.12571428571428567,0.084,0.51,0.406,1.6857142857142857,1.4095748830048722,5,9.434776530889597,0.2120455913703003,0.13857997672065855,True,True
28,-2.197224577336219,0.0,-1.0,0,-1.0,0.0,0.3914285714285714,0.49142857142857144,0.1171428571428571,0.104,0.484,0.412,1.6285714285714286,1.4220070219686116,5,6.739582156973454,0.23254216731848176,0.13023362463301263,True,True
29,-2.197224577336219,0.0,-1.0,0,-1.0,1.0,0.32857142857142857,0.5257142857142857,0.1457142857142858,0.11,0.514,0.376,1.782857142857143,1.3973953901389178,6,18.713297529538135,0.1821427120929736,0.152669350518978,True,True
30,-2.197224577336219,0.0,-1.0,0,0.0,-1.0,0.3914285714285714,0.4942857142857143,0.11428571428571427,0.118,0.506,0.376,1.6714285714285715,1.4788037116262063,7,5.4200637593029555,0.23296913373685116,0.13126503560214337,True,True
31,-2.197224577336219,0.0,-1.0,0,0.0,0.0,0.4342857142857143,0.46,0.1057142857142857,0.122,0.466,0.412,1.5114285714285713,1.4357832698688209,5,4.153144226434986,0.2755478771354168,0.11488243190294786,True,True
