,beta,gamma,alpha,p_0,p_k,p_p,y_mean,y_std,n_unique
61,1.0,0.0,1.0,0.68,0.32,0.0,0.96,1.4004291187840239,2
62,1.0,0.0,2.0,0.7342857142857143,0.26571428571428574,0.0,0.7971428571428572,1.3260859645155365,2
63,1.0,1.0,2.0,0.7071428571428572,0.2885714285714286,0.004285714285714226,0.87,1.3591053608805497,3
64,2.0,-2.0,-2.0,0.6571428571428571,0.34285714285714286,0.0,1.0285714285714285,1.4250108909196908,2
65,2.0,-2.0,-1.0,0.6814285714285714,0.31857142857142856,5.551115123125783e-17,0.9557142857142857,1.3987666460069768,2
66,2.0,-2.0,0.0,0.6414285714285715,0.3585714285714286,0.0,1.0757142857142856,1.439771849900884,2
67,2.0,-2.0,1.0,0.6257142857142857,0.3742857142857143,5.551115123125783e-17,1.1228571428571428,1.4528519069047228,2
68,2.0,-2.0,2.0,0.6657142857142857,0.3342857142857143,0.0,1.002857142857143,1.416232426444998,2
69,2.0,-1.0,-2.0,0.6214285714285714,0.37714285714285717,0.0014285714285713902,1.4628571428571429,8.846330300145734,3
70,2.0,-1.0,-1.0,0.6471428571428571,0.35285714285714287,0.0,1.0585714285714285,1.4346013146319059,2
71,2.0,-1.0,0.0,0.6514285714285715,0.3485714285714286,0.0,1.0457142857142858,1.430576153157044,2
72,2.0,-1.0,1.0,0.6457142857142857,0.35428571428571426,5.551115123125783e-17,1.062857142857143,1.4359149086105623,2
73,2.0,-1.0,2.0,0.6328571428571429,0.36714285714285716,0.0,1.1014285714285714,1.4471117559088225,2
74,2.0,0.0,1.0,0.6785714285714286,0.3142857142857143,0.0071428571428571175,0.9514285714285714,1.3919596274076058,4
75,2.0,0.0,2.0,0.6528571428571428,0.3457142857142857,0.0014285714285715012,1.0385714285714285,1.4272829873346802,3
