,beta,gamma,alpha,p_0,p_k,p_p,y_mean,y_std,n_unique
18,-1.0,0.0,2.0,0.7171428571428572,0.2814285714285714,0.0014285714285713902,1.0742857142857143,6.201912246392707,3
19,-1.0,1.0,-2.0,0.71,0.29,5.551115123125783e-17,0.87,1.3622595468417071,2
20,-1.0,1.0,-1.0,0.6914285714285714,0.30857142857142855,5.551115123125783e-17,0.9257142857142857,1.3867021957749306,2
21,-1.0,1.0,0.0,0.7071428571428572,0.29285714285714287,0.0,0.8785714285714286,1.3661965265330513,2
22,-1.0,1.0,1.0,0.72,0.28,0.0,0.84,1.34795983180305,2
23,-1.0,1.0,2.0,0.6757142857142857,0.3242857142857143,0.0,0.9728571428571429,1.4053262089370726,2
24,-1.0,2.0,-2.0,0.68,0.31857142857142856,0.0014285714285713902,1.15,5.292212271783297,3
25,-1.0,2.0,-1.0,0.7171428571428572,0.28285714285714286,0.0,0.8485714285714285,1.3521289161035406,2
26,-1.0,2.0,0.0,0.6785714285714286,0.32142857142857145,0.0,0.9642857142857143,1.402076501567479,2
27,-1.0,2.0,1.0,0.67,0.33,0.0,0.99,1.4116468329989196,2
28,-1.0,2.0,2.0,0.6957142857142857,0.30428571428571427,0.0,0.9128571428571428,1.3812997371410285,2
29,0.0,-2.0,-2.0,0.7342857142857143,0.26285714285714284,0.002857142857142836,0.7914285714285715,1.3208726964228323,3
30,0.0,-2.0,-1.0,0.7457142857142857,0.24857142857142858,0.005714285714285755,0.7514285714285714,1.2963846345837313,3
31,0.0,-1.0,-2.0,0.7642857142857142,0.2357142857142857,5.551115123125783e-17,0.7071428571428572,1.274243743689688,2
32,0.0,-1.0,-1.0,0.7128571428571429,0.28714285714285714,0.0,0.8614285714285714,1.3582569888733949,2
33,0.0,-1.0,0.0,0.7271428571428571,0.2714285714285714,0.0014285714285715012,0.8171428571428572,1.335438762784637,3
34,0.0,-1.0,1.0,0.7485714285714286,0.24857142857142858,0.0028571428571428636,0.84,2.282633321056562,4
35,0.0,-1.0,2.0,0.7328571428571429,0.26571428571428574,0.0014285714285713902,1.1371428571428572,9.062873240162821,3
36,0.0,0.0,-2.0,0.7214285714285714,0.2785714285714286,0.0,0.8357142857142857,1.3458499464945786,2
37,0.0,0.0,-1.0,0.75,0.25,0.0,0.75,1.2999669853846785,2
38,0.0,0.0,0.0,0.7171428571428572,0.28285714285714286,0.0,0.8485714285714285,1.3521289161035406,2
39,0.0,0.0,1.0,0.7542857142857143,0.24571428571428572,0.0,0.7371428571428571,1.2924532160806457,2
40,0.0,0.0,2.0,0.7157142857142857,0.2842857142857143,0.0,0.8528571428571429,1.3541882711414683,2
41,0.0,1.0,-2.0,0.7542857142857143,0.24571428571428572,0.0,0.7371428571428571,1.2924532160806457,2
42,0.0,1.0,-1.0,0.7114285714285714,0.2857142857142857,0.0028571428571428914,0.9542857142857143,2.3694941127372195,4
43,0.0,1.0,0.0,0.7342857142857143,0.26571428571428574,0.0,0.7971428571428572,1.3260859645155367,2
44,0.0,1.0,1.0,0.73,0.27,0.0,0.81,1.3328307350299,2
45,0.0,1.0,2.0,0.7428571428571429,0.2571428571428571,0.0,0.7714285714285715,1.31211400560441,2
46,0.0,2.0,0.0,0.7185714285714285,0.27285714285714285,0.008571428571428619,0.8428571428571429,1.3567582575935677,6
47,0.0,2.0,2.0,0.7671428571428571,0.23285714285714285,2.7755575615628914e-17,0.6985714285714286,1.2688625861044591,2
48,1.0,-2.0,-2.0,0.6742857142857143,0.32571428571428573,0.0,0.9771428571428571,1.4069286375981138,2
49,1.0,-2.0,-1.0,0.7185714285714285,0.2814285714285714,5.551115123125783e-17,0.8442857142857143,1.3500527954796673,2
50,1.0,-2.0,0.0,0.7071428571428572,0.29285714285714287,0.0,0.8785714285714286,1.3661965265330513,2
51,1.0,-2.0,1.0,0.7071428571428572,0.29285714285714287,0.0,0.8785714285714286,1.3661965265330513,2
52,1.0,-2.0,2.0,0.68,0.32,0.0,0.96,1.4004291187840239,2
53,1.0,-1.0,-2.0,0.6814285714285714,0.31857142857142856,5.551115123125783e-17,0.9557142857142857,1.3987666460069768,2
54,1.0,-1.0,-1.0,0.6757142857142857,0.3242857142857143,0.0,0.9728571428571429,1.4053262089370724,2
55,1.0,-1.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.8571428571428571,1.3562309369660515,2
56,1.0,-1.0,1.0,0.6885714285714286,0.31142857142857144,0.0,0.9342857142857143,1.390226020290347,2
57,1.0,-1.0,2.0,0.6785714285714286,0.32142857142857145,0.0,0.9642857142857143,1.402076501567479,2
58,1.0,0.0,-2.0,0.7228571428571429,0.2757142857142857,0.0014285714285714457,1.1571428571428573,8.802450748423315,3
59,1.0,0.0,-1.0,0.6857142857142857,0.3142857142857143,0.0,0.9428571428571428,1.3936881452567884,2
60,1.0,0.0,0.0,0.6685714285714286,0.3314285714285714,0.0,0.9942857142857143,1.413190033185831,2
61,1.0,0.0,1.0,0.72,0.28,0.0,0.84,1.3479598318030501,2
62,1.0,0.0,2.0,0.75,0.25,0.0,0.75,1.2999669853846785,2
63,1.0,1.0,2.0,0.73,0.26571428571428574,0.004285714285714282,0.8014285714285714,1.3251169794387256,3
64,1.0,2.0,2.0,0.7671428571428571,0.2257142857142857,0.007142857142857173,0.6857142857142857,1.254951362620244,4
65,2.0,-2.0,-2.0,0.6514285714285715,0.3485714285714286,0.0,1.0457142857142858,1.430576153157044,2
66,2.0,-2.0,-1.0,0.61,0.39,0.0,1.17,1.4642961073938412,2
67,2.0,-2.0,0.0,0.6871428571428572,0.31285714285714283,0.0,0.9385714285714286,1.3919647662510592,2
68,2.0,-2.0,1.0,0.62,0.38,0.0,1.14,1.4572005614859094,2
69,2.0,-2.0,2.0,0.6471428571428571,0.35285714285714287,0.0,1.0585714285714285,1.4346013146319059,2
70,2.0,-1.0,-2.0,0.6442857142857142,0.3557142857142857,5.551115123125783e-17,1.0671428571428572,1.437214503944863,2
71,2.0,-1.0,-1.0,0.6428571428571429,0.35714285714285715,0.0,1.0714285714285714,1.43850013857552,2
72,2.0,-1.0,0.0,0.6271428571428571,0.37285714285714283,5.551115123125783e-17,1.1185714285714285,1.4517310329497781,2
73,2.0,-1.0,1.0,0.6485714285714286,0.3514285714285714,0.0,1.0542857142857143,1.4332736835196613,2
74,2.0,-1.0,2.0,0.6557142857142857,0.3442857142857143,0.0,1.032857142857143,1.4264235846325,2
75,2.0,0.0,1.0,0.6714285714285714,0.3271428571428571,0.0014285714285715012,0.9828571428571429,1.4080263918155262,3
76,2.0,0.0,2.0,0.6728571428571428,0.32571428571428573,0.0014285714285714457,0.9785714285714285,1.4064426514947534,3
77,-2.0,-1.0,-2.0,0.7028571428571428,0.2885714285714286,0.008571428571428563,0.8757142857142857,1.3585879771443292,4
78,-2.0,0.0,-2.0,0.6542857142857142,0.3457142857142857,5.551115123125783e-17,1.0371428571428571,1.4278219983964542,2
79,-2.0,0.0,-1.0,0.6571428571428571,0.3357142857142857,0.007142857142857173,1.0157142857142858,1.4156428057400974,4
80,-2.0,1.0,-2.0,0.65,0.35,0.0,1.05,1.4319319762297913,2
81,-2.0,1.0,-1.0,0.6171428571428571,0.38285714285714284,5.551115123125783e-17,1.1485714285714286,1.4592944046392433,2
82,-2.0,1.0,0.0,0.65,0.35,0.0,1.05,1.4319319762297913,2
83,-2.0,1.0,1.0,0.6171428571428571,0.38285714285714284,5.551115123125783e-17,1.1485714285714286,1.4592944046392435,2
84,-2.0,1.0,2.0,0.6514285714285715,0.3485714285714286,0.0,1.0457142857142858,1.430576153157044,2
85,-2.0,2.0,-2.0,0.65,0.35,0.0,1.05,1.4319319762297913,2
86,-2.0,2.0,-1.0,0.6557142857142857,0.3442857142857143,0.0,1.032857142857143,1.4264235846325,2
87,-2.0,2.0,0.0,0.6285714285714286,0.37142857142857144,0.0,1.1142857142857143,1.4505966129200367,2
88,-2.0,2.0,1.0,0.6671428571428571,0.33285714285714285,0.0,0.9985714285714286,1.4147185484853768,2
89,-2.0,2.0,2.0,0.6314285714285715,0.36857142857142855,0.0,1.1057142857142856,1.44828700693099,2
90,-1.0,-2.0,-2.0,0.7542857142857143,0.23714285714285716,0.008571428571428508,0.7214285714285714,1.2763270865262286,4
91,-1.0,-1.0,-2.0,0.7357142857142858,0.2557142857142857,0.008571428571428508,0.7757142857142857,1.3079415965976315,3
92,-1.0,-1.0,-1.0,0.7314285714285714,0.26,0.008571428571428563,0.79,1.3157622615964817,4
93,-1.0,0.0,-2.0,0.7057142857142857,0.29428571428571426,0.0,0.8828571428571429,1.3681406018078495,2
94,-1.0,0.0,-1.0,0.7,0.3,5.551115123125783e-17,0.9,1.3757557423688787,2
95,-1.0,0.0,0.0,0.7114285714285714,0.2885714285714286,0.0,0.8657142857142858,1.3602665011004063,2
96,-1.0,0.0,1.0,0.6785714285714286,0.32142857142857145,0.0,0.9642857142857143,1.402076501567479,2
97,-1.0,0.0,2.0,0.7185714285714285,0.2814285714285714,5.551115123125783e-17,0.8442857142857143,1.3500527954796675,2
98,-1.0,1.0,-2.0,0.72,0.28,0.0,0.84,1.34795983180305,2
99,-1.0,1.0,-1.0,0.6728571428571428,0.3271428571428571,5.551115123125783e-17,0.9814285714285714,1.408516184434825,2
100,-1.0,1.0,0.0,0.7057142857142857,0.29428571428571426,0.0,0.8828571428571429,1.3681406018078492,2
101,-1.0,1.0,1.0,0.6857142857142857,0.3142857142857143,0.0,0.9428571428571428,1.3936881452567884,2
102,-1.0,1.0,2.0,0.6842857142857143,0.3157142857142857,0.0,0.9471428571428572,1.3953962142442415,2
103,-1.0,2.0,-2.0,0.7157142857142857,0.2842857142857143,0.0,0.8528571428571429,1.3541882711414683,2
104,-1.0,2.0,-1.0,0.7242857142857143,0.2757142857142857,0.0,0.8271428571428572,1.3415790909924412,2
105,-1.0,2.0,0.0,0.6842857142857143,0.3157142857142857,0.0,0.9471428571428572,1.3953962142442418,2
106,-1.0,2.0,1.0,0.6971428571428572,0.3028571428571429,0.0,0.9085714285714286,1.3794675484951862,2
107,-1.0,2.0,2.0,0.71,0.29,5.551115123125783e-17,0.87,1.3622595468417071,2
108,0.0,-2.0,-2.0,0.76,0.2342857142857143,0.0057142857142856995,0.71,1.2715270802778162,4
109,0.0,-1.0,-2.0,0.7385714285714285,0.26142857142857145,0.0,0.7842857142857143,1.3191812298187349,2
110,0.0,-1.0,-1.0,0.7642857142857142,0.2357142857142857,5.551115123125783e-17,0.7071428571428572,1.274243743689688,2
111,0.0,-1.0,0.0,0.7314285714285714,0.2671428571428571,0.0014285714285714457,0.8071428571428572,1.3334929906454522,3
112,0.0,-1.0,1.0,0.7314285714285714,0.26857142857142857,0.0,0.8057142857142857,1.3306001006446992,2
113,0.0,-1.0,2.0,0.7414285714285714,0.2557142857142857,0.002857142857142836,2.5185714285714287,34.870673770799314,4
114,0.0,0.0,-2.0,0.7285714285714285,0.2714285714285714,5.551115123125783e-17,0.8142857142857143,1.335043864971453,2
115,0.0,0.0,-1.0,0.75,0.25,0.0,0.75,1.2999669853846785,2
116,0.0,0.0,0.0,0.7371428571428571,0.26285714285714284,5.551115123125783e-17,0.7885714285714286,1.3215007354315653,2
117,0.0,0.0,1.0,0.6928571428571428,0.30714285714285716,0.0,0.9214285714285714,1.3849169993301844,2
118,0.0,0.0,2.0,0.7214285714285714,0.2785714285714286,0.0,0.8357142857142857,1.3458499464945786,2
119,0.0,1.0,-2.0,0.6728571428571428,0.32571428571428573,0.0014285714285714457,1.33,9.404498512662869,3
